"InstanceType","InstanceFamily","ProcessorVCPUCount","MemorySizeInMB","ProcessorArchitecture","PricePerHour","GPUCount","GPUName","GPUMemoryInMB","ProcessorDefaultCores"
"m8azn.metal-12xl","General purpose",48,192,"x86_64","4.9550",0,"",0,48
"m8azn.24xlarge","General purpose",96,384,"x86_64","9.9101",0,"",0,96
"m8azn.metal-24xl","General purpose",96,384,"x86_64","9.9101",0,"",0,96
"m8i-flex.large","General purpose",2,8,"x86_64","0.1006",0,"",0,1
"m8i-flex.xlarge","General purpose",4,16,"x86_64","0.2011",0,"",0,2
"m8i-flex.2xlarge","General purpose",8,32,"x86_64","0.4022",0,"",0,4
"m8i-flex.4xlarge","General purpose",16,64,"x86_64","0.8044",0,"",0,8
"m8i-flex.8xlarge","General purpose",32,128,"x86_64","1.6088",0,"",0,16
"m8i-flex.12xlarge","General purpose",48,192,"x86_64","2.4132",0,"",0,24
"m8i-flex.16xlarge","General purpose",64,256,"x86_64","3.2176",0,"",0,32
"m8i.large","General purpose",2,8,"x86_64","0.1058",0,"",0,1
"m8i.xlarge","General purpose",4,16,"x86_64","0.2117",0,"",0,2
"m8i.2xlarge","General purpose",8,32,"x86_64","0.4234",0,"",0,4
"m8i.4xlarge","General purpose",16,64,"x86_64","0.8467",0,"",0,8
"m8i.8xlarge","General purpose",32,128,"x86_64","1.6934",0,"",0,16
"m8i.12xlarge","General purpose",48,192,"x86_64","2.5402",0,"",0,24
"m8i.16xlarge","General purpose",64,256,"x86_64","3.3869",0,"",0,32
"m8i.24xlarge","General purpose",96,384,"x86_64","5.0803",0,"",0,48
"m8i.32xlarge","General purpose",128,512,"x86_64","6.7738",0,"",0,64
"m8i.48xlarge","General purpose",192,768,"x86_64","10.1606",0,"",0,96
"m8i.metal-48xl","General purpose",192,768,"x86_64","10.1606",0,"",0,96
"m8i.96xlarge","General purpose",384,1536,"x86_64","20.3213",0,"",0,192
"m8i.metal-96xl","General purpose",384,1536,"x86_64","20.3213",0,"",0,192
"m8ib.large","General purpose",2,8,"x86_64","0.1671",0,"",0,1
"m8ib.xlarge","General purpose",4,16,"x86_64","0.3342",0,"",0,2
"m8ib.2xlarge","General purpose",8,32,"x86_64","0.6683",0,"",0,4
"m8ib.4xlarge","General purpose",16,64,"x86_64","1.3366",0,"",0,8
"m8ib.8xlarge","General purpose",32,128,"x86_64","2.6733",0,"",0,16
"m8ib.12xlarge","General purpose",48,192,"x86_64","4.0099",0,"",0,24
"m8ib.16xlarge","General purpose",64,256,"x86_64","5.3466",0,"",0,32
"m8ib.24xlarge","General purpose",96,384,"x86_64","8.0198",0,"",0,48
"m8ib.32xlarge","General purpose",128,512,"x86_64","10.6931",0,"",0,64
